epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,273.976,2.43038,0.53125,0.95486,2.15847,0.00020544,0.00020544,0.00020544
2,548.038,1.81061,0.94792,1,0.4521,0.000400119,0.000400119,0.000400119
3,805.84,0.52653,1,1,0.02029,0.000581047,0.000581047,0.000581047
4,1049.24,0.13597,1,1,0.01135,0.000563125,0.000563125,0.000563125
5,1312.79,0.05752,1,1,0.00096,0.0005425,0.0005425,0.0005425
6,1556.12,0.04896,1,1,0.00041,0.000521875,0.000521875,0.000521875
7,1790.36,0.05178,1,1,0.00031,0.00050125,0.00050125,0.00050125
8,2032.18,0.03655,1,1,0.00054,0.000480625,0.000480625,0.000480625
9,2272.68,0.0361,1,1,0.00031,0.00046,0.00046,0.00046
10,2516.74,0.03172,1,1,0.0002,0.000439375,0.000439375,0.000439375
11,2754.34,0.02748,1,1,0.00018,0.00041875,0.00041875,0.00041875
12,3003.86,0.02365,1,1,0.00041,0.000398125,0.000398125,0.000398125
13,3249.42,0.0193,1,1,0.00015,0.0003775,0.0003775,0.0003775
14,3500.22,0.01705,1,1,0.00015,0.000356875,0.000356875,0.000356875
15,3746.86,0.02493,1,1,0.00019,0.00033625,0.00033625,0.00033625
16,4002.29,0.01553,1,1,7e-05,0.000315625,0.000315625,0.000315625
17,4243.8,0.02181,1,1,8e-05,0.000295,0.000295,0.000295
18,4483.13,0.00851,1,1,5e-05,0.000274375,0.000274375,0.000274375
19,4726.51,0.01377,1,1,4e-05,0.00025375,0.00025375,0.00025375
20,4978.02,0.01135,1,1,4e-05,0.000233125,0.000233125,0.000233125
21,5233.92,0.00932,1,1,5e-05,0.0002125,0.0002125,0.0002125
22,5485.3,0.01973,1,1,3e-05,0.000191875,0.000191875,0.000191875
23,5724.96,0.01006,1,1,3e-05,0.00017125,0.00017125,0.00017125
24,5950.88,0.01072,1,1,4e-05,0.000150625,0.000150625,0.000150625
25,6193.08,0.00751,1,1,3e-05,0.00013,0.00013,0.00013
26,6410.7,0.01071,1,1,4e-05,0.000109375,0.000109375,0.000109375
27,6617.41,0.01363,1,1,4e-05,8.875e-05,8.875e-05,8.875e-05
28,6826.15,0.00602,1,1,3e-05,6.8125e-05,6.8125e-05,6.8125e-05
29,7072.72,0.00802,1,1,4e-05,4.75e-05,4.75e-05,4.75e-05
30,7326.66,0.01155,1,1,4e-05,2.6875e-05,2.6875e-05,2.6875e-05
